#========================================================================================
#                     Free energy perturbation    
#----------------------------------------------------------------------------------------
#forward/backward          λ              ΔΔA                 ΔA                  δε   
#                                                 
#----------------------------------------------------------------------------------------
forward:               0.0000              0.0000              0.0000              0.0000  
forward:               0.0500              2.9210              2.9210              0.0350  
forward:               0.1000              1.5179              4.4388              0.0425  
forward:               0.1500              0.6477              5.0865              0.0460  
forward:               0.2000              0.2594              5.3459              0.0472  
forward:               0.2500              0.0871              5.4329              0.0478  
forward:               0.3000             -0.0351              5.3978              0.0482  
forward:               0.3500             -0.1125              5.2853              0.0486  
forward:               0.4000             -0.1756              5.1098              0.0489  
forward:               0.4500             -0.2178              4.8919              0.0491  
forward:               0.5000             -0.2552              4.6367              0.0494  
forward:               0.5500             -0.3339              4.3028              0.0497  
forward:               0.6000             -0.4986              3.8042              0.0501  
forward:               0.6500             -0.6273              3.1769              0.0503  
forward:               0.7000             -0.7198              2.4572              0.0505  
forward:               0.7500             -0.8051              1.6521              0.0507  
forward:               0.8000             -0.8586              0.7935              0.0509  
forward:               0.8500             -0.9219             -0.1284              0.0511  
forward:               0.9000             -0.9512             -1.0796              0.0513  
forward:               0.9500             -0.9774             -2.0570              0.0515  
forward:               1.0000             -0.9993             -3.0563              0.0516  
backward:              1.0000              0.0000             -3.0563              0.0000  
backward:              0.9500              1.0084             -2.0479              0.0054  
backward:              0.9000              0.9806             -1.0673              0.0076  
backward:              0.8500              0.9476             -0.1197              0.0096  
backward:              0.8000              0.9163              0.7966              0.0108  
backward:              0.7500              0.8680              1.6646              0.0121  
backward:              0.7000              0.7953              2.4599              0.0161  
backward:              0.6500              0.7237              3.1836              0.0170  
backward:              0.6000              0.6510              3.8347              0.0179  
backward:              0.5500              0.5151              4.3497              0.0190  
