 CONF#         E (xTB)          ΔE (xTB)          E (DFT)           ΔE (DFT)        ΔGsolv (xTB)           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]           [kcal/mol]        [kcal/mol]            [Eh]           [kcal/mol]        % at 298.15 K     
 CONF1        -56.766408          0.00          -2572.686725          3.50           -4.760049         -2572.694310          2.91                0.03         
 CONF2        -56.765913          0.31          -2572.687271          3.16           -4.844928         -2572.694992          2.48                0.06         
 CONF3        -56.765829          0.36          -2572.687690          2.90           -4.675752         -2572.695141          2.39                0.07         
 CONF4        -56.765440          0.61          -2572.686505          3.64           -4.875428         -2572.694274          2.93                0.03         
 CONF5        -56.765058          0.85          -2572.684856          4.67           -5.098612         -2572.692981          3.74                0.01         
 CONF6        -56.765537          0.55          -2572.687754          2.86           -4.758913         -2572.695337          2.26                0.09         
 CONF9        -56.764497          1.20          -2572.684392          4.97           -5.246910         -2572.692754          3.89                0.01         
CONF11        -56.765660          0.47          -2572.689051          2.04           -4.498378         -2572.696220          1.71                0.22         
CONF13        -56.764666          1.09          -2572.686220          3.82           -4.990556         -2572.694173          2.99                0.02         
CONF15        -56.764751          1.04          -2572.687703          2.89           -4.866862         -2572.695459          2.19                0.10         
CONF16        -56.763838          1.61          -2572.684907          4.64           -5.344846         -2572.693425          3.46                0.01         
CONF17        -56.766381          0.02          -2572.689497          1.76           -3.745323         -2572.695466          2.18                0.10         
CONF18        -56.763870          1.59          -2572.684688          4.78           -5.294878         -2572.693126          3.65                0.01         
CONF19        -56.762823          2.25          -2572.684393          4.96           -5.903263         -2572.693801          3.23                0.02         
CONF20        -56.762804          2.26          -2572.684433          4.94           -5.913402         -2572.693856          3.19                0.02         
CONF21        -56.763928          1.56          -2572.688484          2.40           -5.206473         -2572.696781          1.36                0.40         
CONF22        -56.766207          0.13          -2572.690710          1.00           -3.773413         -2572.696723          1.39                0.37         
CONF23        -56.763918          1.56          -2572.688600          2.33           -5.208152         -2572.696900          1.28                0.45         
CONF24        -56.766166          0.15          -2572.690711          1.00           -3.797035         -2572.696762          1.37                0.39         
CONF25        -56.763771          1.65          -2572.685634          4.19           -5.295668         -2572.694073          3.06                0.02         
CONF26        -56.763784          1.65          -2572.685641          4.18           -5.288714         -2572.694069          3.06                0.02         
CONF27        -56.764499          1.20          -2572.687631          2.93           -4.796432         -2572.695275          2.30                0.08         
CONF29        -56.763569          1.78          -2572.688504          2.39           -5.324182         -2572.696989          1.23                0.49         
