 CONF#         E (xTB)          ΔE (xTB)          E (DFT)          ΔE (DFT)        ΔGsolv (xTB)          Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]          [Eh]           [kcal/mol]        [kcal/mol]           [Eh]           [kcal/mol]        % at 298.15 K     
 CONF1        -32.507141          0.04          -427.981343          2.67           -1.858727         -427.984305          2.56                0.07         
 CONF2        -32.507211          0.00          -427.983306          1.44           -1.584359         -427.985831          1.60                0.36         
 CONF3        -32.506657          0.35          -427.980551          3.16           -1.880846         -427.983548          3.03                0.03         
 CONF4        -32.506857          0.22          -427.985274          0.20           -1.688740         -427.987965          0.26                3.48         
 CONF5        -32.506503          0.44          -427.980743          3.04           -1.900120         -427.983771          2.89                0.04         
 CONF6        -32.506260          0.60          -427.980287          3.33           -1.900974         -427.983317          3.18                0.03         
 CONF7        -32.506491          0.45          -427.985595          0.00           -1.747591         -427.988380          0.00                5.40         
 CONF8        -32.506312          0.56          -427.980431          3.24           -1.839390         -427.983362          3.15                0.03         
 CONF9        -32.506324          0.56          -427.980797          3.01           -1.830182         -427.983714          2.93                0.04         
CONF10        -32.506268          0.59          -427.980576          3.15           -1.852118         -427.983527          3.04                0.03         
CONF11        -32.506256          0.60          -427.980654          3.10           -1.837330         -427.983582          3.01                0.03         
CONF12        -32.506166          0.66          -427.980136          3.43           -1.871863         -427.983119          3.30                0.02         
CONF13        -32.506544          0.42          -427.982540          1.92           -1.587908         -427.985070          2.08                0.16         
CONF14        -32.506616          0.37          -427.983250          1.47           -1.510701         -427.985657          1.71                0.30         
CONF15        -32.506482          0.46          -427.982460          1.97           -1.580113         -427.984978          2.13                0.15         
CONF16        -32.506251          0.60          -427.984597          0.63           -1.686525         -427.987285          0.69                1.69         
CONF17        -32.506434          0.49          -427.982515          1.93           -1.563475         -427.985006          2.12                0.15         
CONF18        -32.506405          0.51          -427.982483          1.95           -1.580659         -427.985002          2.12                0.15         
CONF19        -32.505820          0.87          -427.980328          3.30           -1.939445         -427.983419          3.11                0.03         
CONF20        -32.506376          0.52          -427.982464          1.96           -1.574908         -427.984974          2.14                0.15         
CONF21        -32.506368          0.53          -427.982478          1.96           -1.576437         -427.984990          2.13                0.15         
CONF22        -32.506360          0.53          -427.982701          1.82           -1.574326         -427.985210          1.99                0.19         
CONF23        -32.506336          0.55          -427.982412          2.00           -1.563741         -427.984904          2.18                0.14         
CONF24        -32.506335          0.55          -427.982485          1.95           -1.560423         -427.984972          2.14                0.15         
CONF25        -32.505821          0.87          -427.979783          3.65           -1.867044         -427.982759          3.53                0.01         
CONF26        -32.505773          0.90          -427.979243          3.99           -1.880169         -427.982239          3.85                0.01         
CONF27        -32.505779          0.90          -427.979366          3.91           -1.874886         -427.982354          3.78                0.01         
CONF28        -32.506107          0.69          -427.984533          0.67           -1.668023         -427.987191          0.75                1.53         
CONF29        -32.505757          0.91          -427.979141          4.05           -1.884113         -427.982144          3.91                0.01         
CONF30        -32.505763          0.91          -427.979431          3.87           -1.879517         -427.982426          3.74                0.01         
